公司;年/月;季別;合併(Y/N);月份;幣別;  現金及約當現金;  透過損益按公允價值衡量之金融資產－流動;  透過其他綜合損益按公允價值衡量之金融資產－流動;  按攤銷後成本衡量之金融資產－流動;  避險之金融資產－流動;  合約資產－流動;  應收帳款及票據;  其他應收款;  資金貸予他人－流動;  存貨;  待出售非流動資產;  當期所得稅資產－流動;流動資產;  透過損益按公允價值衡量之金融資產－非流動;  透過其他綜合損益按公允價值衡量之金融資產－非流動;  按攤銷後成本衡量之金融資產－非流動;  避險之金融資產－非流動;  合約資產－非流動;  採權益法之長期股權投資;  預付投資款;  不動產廠房及設備;  商譽及無形資產合計;    遞延所得稅資產;  遞延資產合計;    使用權資產;    投資性不動產淨額;  其他非流動資產;非流動資產;資產總額;  短期借款;  應付商業本票∕承兌匯票;  透過損益按公允價值衡量之金融負債－流動;  避險之金融負債－流動;  按攤銷後成本衡量之金融負債－流動;  合約負債－流動;  應付帳款及票據;  其他應付款;  當期所得稅負債;  負債準備－流動;  與待出售非流動資產直接相關之負債;  租賃負債─流動;  一年內到期長期負債;  特別股負債－流動;流動負債;  透過損益按公允價值衡量之金融負債－非流動;  避險之金融負債－非流動;  按攤銷後成本衡量之金融負債－非流動;  合約負債－非流動;  特別股負債－非流動;  應付公司債－非流動;  銀行借款－非流動;  其他長期借款－非流動;  租賃負債－非流動;  負債準備－非流動;  遞延貸項;  應計退休金負債;  遞延所得稅;非流動負債;負債總額;    普通股股本;    特別股股本;    預收股款;    待分配股票股利;    換股權利證書;  股本;  資本公積合計;    法定盈餘公積;    特別盈餘公積;    未分配盈餘;  保留盈餘;  其他權益;  庫藏股票帳面值;母公司股東權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;股東權益總額;負債及股東權益總額
2603 長榮;2021/03;1;Y;03;NTD;62.716.849;290;0;16.321.547;0;3.796.912;29.219.840;159.564;1.596.696;396.042;0;208.096;123.425.089;0;1.785.252;355.976;0;0;30.928.496;0;124.442.839;1.508.564;656.293;656.293;86.740.560;5.196.660;107.966.502;267.643.922;391.069.011;9.376;0;0;917.321;0;5.206.968;25.246.498;8.381.826;3.595.381;0;0;10.345.171;24.837.886;0;84.890.926;0;9.885.495;0;0;0;6.344.606;68.599.845;0;63.740.252;0;0;3.367.739;3.923.247;156.340.683;241.231.609;52.215.557;0;0;0;493.803;52.709.360;15.132.876;5.714.940;0;63.817.580;69.532.520;413.559;0;137.788.315;0;0;12.049.087;149.837.402;391.069.011
2609 陽明;2021/03;1;Y;03;NTD;38.149.969;287.475;0;967.253;0;3.588.194;14.597.157;63.841;0;0;0;0;62.162.532;0;2.195.484;53.533;0;0;7.206.917;0;73.757.000;80.939;768.003;768.003;55.727.150;6.317.181;62.629.705;146.691.581;208.854.113;1.651.240;8.654.587;0;7.676.977;0;663.511;18.281.664;5.912.476;260.837;0;0;1.925.655;12.480.043;0;58.123.563;0;40.803.916;0;0;0;4.958.977;29.044.407;0;5.681.102;1.373;0;2.883.135;4.141.850;88.280.716;146.404.279;33.321.043;0;0;0;0;33.321.043;403.657;0;0;26.177.970;26.177.970;1.925.227;0;61.827.897;0;0;621.937;62.449.834;208.854.113
2603 長榮;2020/12;4;Y;12;NTD;44.096.485;4.289;0;6.768.603;0;3.041.569;21.918.623;259.517;1.619.990;385.097;0;205.171;85.837.891;0;1.657.983;348.609;0;0;29.919.994;0;118.642.644;1.552.438;664.194;664.194;76.189.187;5.171.512;95.597.087;248.382.949;334.220.840;9.249;0;0;898.484;0;3.681.247;20.567.207;5.577.387;1.436.225;0;0;9.469.102;22.201.548;0;72.490.805;0;9.971.891;0;0;0;12.779.043;77.040.500;0;53.831.455;0;0;3.423.829;2.872.242;160.235.742;232.726.547;48.980.353;0;0;0;0;48.980.353;12.433.364;5.714.940;0;27.734.460;33.449.400;-581.406;0;94.281.711;0;0;7.212.582;101.494.293;334.220.840
2609 陽明;2020/12;4;Y;12;NTD;24.518.721;1.743.413;0;2.191.233;0;2.890.274;11.206.052;41.996;0;0;0;105.276;46.261.219;0;1.998.531;103.439;0;0;6.972.400;0;73.663.236;88.268;3.162.100;3.162.100;55.853.713;6.317.219;62.726.792;148.714.766;194.975.985;2.072.156;12.113.626;0;7.370.742;0;352.216;16.128.424;4.328.266;264.165;0;0;2.146.472;14.315.643;0;59.749.354;0;40.383.562;0;0;0;4.945.877;41.096.387;0;6.089.430;1.396;0;3.027.709;2.573.337;98.891.779;158.641.133;31.676.622;0;0;0;0;31.676.622;384.106;0;0;1.660.919;1.660.919;1.956.585;0;35.678.232;0;0;656.620;36.334.852;194.975.985
2603 長榮;2020/09;3;Y;09;NTD;41.927.208;0;0;8.622.825;0;2.387.617;17.394.325;426.816;1.350.894;401.721;0;450.084;79.247.034;0;1.566.894;341.014;0;0;28.599.101;0;116.507.720;1.666.228;523.122;523.122;76.813.078;5.253.080;95.305.414;244.509.493;323.756.527;9.459;0;28.701;905.017;0;3.936.431;18.174.372;5.998.407;962.295;0;0;9.623.129;27.244.224;0;69.923.211;0;10.535.255;0;0;0;14.223.941;84.416.342;0;54.009.513;0;0;2.972.459;2.354.323;168.828.313;238.751.524;48.129.738;0;0;0;0;48.129.738;11.787.963;5.714.940;0;14.599.325;20.314.265;52.404;0;80.284.370;0;0;4.720.633;85.005.003;323.756.527
2609 陽明;2020/09;3;Y;09;NTD;17.853.058;3.183.839;0;2.988.417;0;2.001.233;10.774.328;35.164;0;0;0;0;41.025.885;0;1.668.699;115.629;0;0;7.877.760;0;73.148.217;96.450;4.739.749;4.739.749;58.435.209;6.313.207;65.290.022;152.936.526;193.962.411;2.296.500;10.408.327;0;7.399.038;0;376.688;16.255.728;3.275.920;102.778;47.668;0;2.368.289;25.819.289;0;69.034.222;0;43.212.029;0;0;0;4.983.147;45.227.793;0;6.542.889;1.377;0;2.422.338;1.752.379;104.874.707;173.908.929;26.226.242;0;0;0;0;26.226.242;311.066;0;0;-7.981.075;-7.981.075;855.002;0;19.411.235;0;0;642.247;20.053.482;193.962.411
2603 長榮;2020/06;2;Y;06;NTD;38.258.732;0;0;423.186;0;1.186.338;14.740.905;625.771;1.601.235;351.207;0;350.395;64.038.978;0;1.458.417;341.294;0;0;28.408.668;0;112.546.416;1.755.156;885.650;885.650;79.168.111;5.291.466;97.839.756;243.235.357;307.274.335;9.553;0;0;1.904.770;0;2.514.011;15.539.022;5.012.937;645.731;0;0;8.840.936;29.244.379;0;67.833.566;0;16.945.708;0;0;0;6.000.000;85.663.757;0;50.221.565;0;0;2.971.137;2.047.612;164.133.678;231.967.244;48.129.738;0;0;0;0;48.129.738;11.408.494;5.714.940;0;6.412.845;12.127.785;169.209;0;71.835.226;0;0;3.471.865;75.307.091;307.274.335
2609 陽明;2020/06;2;Y;06;NTD;16.134.647;287.865;0;3.053.784;0;1.636.987;8.692.131;67.338;0;0;0;0;33.959.319;0;1.629.728;115.776;0;0;7.859.919;0;72.316.095;105.462;5.445.947;5.445.947;52.890.682;6.313.245;59.733.854;147.206.781;181.166.100;3.116.117;11.084.971;16.887;6.778.658;0;272.148;12.358.036;3.812.645;98.545;1.081.516;0;2.617.849;24.898.571;0;66.675.842;0;39.001.122;0;0;0;4.970.047;42.986.676;0;6.409.208;1.378;0;2.414.926;1.814.567;98.121.755;164.797.597;26.013.357;0;0;0;0;26.013.357;308.765;0;0;-10.717.793;-10.717.793;117.201;0;15.721.530;0;0;646.973;16.368.503;181.166.100
2603 長榮;2020/03;1;Y;03;NTD;37.384.573;0;0;706.653;0;1.371.280;14.292.651;333.889;1.566.823;295.153;0;399.911;62.814.227;0;1.452.117;340.138;0;0;28.538.325;0;111.147.375;1.873.250;994.459;994.459;82.255.432;5.432.571;100.313.565;244.659.229;307.473.456;527.344;0;0;1.934.757;0;2.771.898;14.168.725;4.637.269;602.049;0;0;9.065.072;25.929.958;0;63.085.247;0;17.846.103;0;0;0;10.000.000;87.678.688;0;52.198.720;0;0;2.974.629;1.908.802;172.912.067;235.997.314;48.129.738;0;0;0;0;48.129.738;11.407.992;5.714.940;0;3.220.489;8.935.429;48.681;0;68.521.840;0;0;2.954.302;71.476.142;307.473.456
2609 陽明;2020/03;1;Y;03;NTD;18.250.726;721.102;0;542.539;0;2.255.222;10.425.344;71.001;0;0;0;0;37.580.766;0;1.412.208;2.750.607;0;0;7.941.452;0;71.884.833;116.928;5.589.185;5.589.185;55.524.823;6.313.282;62.309.191;152.004.404;189.585.170;4.933.867;12.491.603;62.943;6.868.251;0;295.198;13.568.912;3.944.401;117.531;1.053.898;0;2.954.481;12.721.349;0;59.458.378;0;40.960.286;0;0;0;12.221.107;47.559.185;2.257.632;7.017.396;1.375;0;2.476.893;1.772.320;114.652.955;174.111.333;26.013.357;0;0;0;0;26.013.357;1.939.381;0;0;-12.280.877;-12.280.877;-839.632;0;14.832.229;0;0;641.608;15.473.837;189.585.170
